"","X12S","X16S","AMEL","BDNF","BMP2","CMOS","COI","CYTB","ND1","ND2","ND4","NT3","PDC","PRLR","R35","RAG1","RAG2"
"Adolfus_africanus","AF080385","HQ605828","","","","HQ605887","","HQ605846","","","","","","","","HQ616552",""
"Adolfus_alleni","","HQ605779","","","","HQ605882","","HQ605840","","","","","","","","KC503120",""
"Adolfus_jacksoni","AF206615","AF206615","","","","EF632253","AF206577","AF206539","","","","","","","","HQ616575",""
"Adolfus_masavaensis","","","","","","","","","","","","","","","","",""
"Aeluroscalabotes_felinus","AB028746","AB028760","","JN654793","JN654813","HQ426517","","","AB308463","JX041301","","","HQ426171","","JN568494","HQ426259","HQ426432"
"Afroablepharus_africanus","AY308438","AY308286","","","","EU164501","","EU164520","","DQ675257","","","","","","DQ675337",""
"Afroablepharus_annobonensis","EU164459","EU164494","","","","EU164498","","EU164535","","","","","","","","",""
"Afroablepharus_duruarum","","","","","","","","","","","","","","","","",""
"Afroablepharus_maculicollis","","","","","","","","","","","","","","","","",""
"Afroablepharus_seydeli","","","","","","","","","","","","","","","","",""
"Afroablepharus_wahlbergi","AY308327","AY308178","","","","","","","","","","","","","","",""
"Afroablepharus_wilsoni","","","","","","","","","","","","","","","","",""
"Afroedura_africana","","","","","","","","","","KM073620","","","KM073575","","","KM073460",""
"Afroedura_amatolica","","LM993672","","","","","","","","KM073622","LM654527","","KM073576","","","KM073463",""
"Afroedura_bogerti","","LM993777","","","","","","","","KM073625","LM654622","","KM073579","","","KM073465",""
